grid_id_main,ci_norm,vci_norm,lum_norm,lum_adjacency_norm,lum_intensity_norm,lum_proximity_norm,gi_norm,li_norm,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_floor_m2,heating_kwh_per_floor_m2,other_electricity_kwh_per_floor_m2
3762,0.0216923499697087,0.764935551270151,0.0,0.8416666666666666,0.934751345771738,0.0,0.0,0.0,0.5654014387453864,14.30622907135135,0.0,0.0,0.0,0.0,14.871630510096738,0.0,0.0,0.4149392852289414,0.0,0,8.40549272989792,12.555113427166786,5.365798647487521
3763,0.0287333696350696,0.6340515846470147,0.0,0.9083333333333332,0.8968127789273254,0.0,0.6246680623186113,0.5879125682823143,1.0846404584498492,6.229491197848709,0.0,0.0,0.0,0.0,7.314131656298558,0.0,0.0,0.5717466543403051,0.0,0,9.313391919371163,13.056018120844096,9.492500474006599
3765,0.0543487097472632,0.7708099333130749,0.0,0.8749999999999998,0.4185366975064222,0.0,0.0,0.0,0.0,5.6274336231107815,0.0,0.0,0.0,0.0,5.6274336231107815,1.948784737671623,0.0,0.4175894155516289,0.0,0,9.382047359823105,12.98020442391658,11.484510540054018
3766,0.0136386997400073,0.6067861017823478,0.0,0.8416666666666666,0.4540817484257178,0.0,0.0,0.0,0.0,2.585692544299725,0.508880254017984,0.0,0.0,0.0,2.076812290281741,0.0,0.0,0.8079787768432707,0.0,0,10.67524669357611,13.319172890899411,8.577403934638944
3767,0.0418950278271957,0.810521178045635,0.0,0.9,0.1690109064729091,0.0,0.0,0.0,0.0,5.5033330674423055,0.0,0.0,0.0,0.0,5.5033330674423055,0.0,0.0,0.4193728382596117,0.0,0,7.81775997552226,12.192086487967698,6.929941854016957
3777,0.9721026649812068,0.355956327030472,0.0,0.7812499999999998,0.2902492417853892,0.0,0.0,0.0,0.0725619240104822,0.0,0.0,0.0,0.0,0.117379421546004,0.0,0.0656429402881657,0.5924133520593355,0.4027088117737656,0.0,0,13.42851183633479,12.406008714590145,4.447755858625419
3778,0.944495300994922,0.6021297656408706,0.2608782005231591,0.7833333333333331,0.791670552530099,0.3853809475350709,0.0,0.0,12.117213617699877,0.2515085250237431,0.0,0.0,0.0,17.988756373808656,0.0,0.0,0.7835351196397489,1.7549856866249247,0.0,0,8.337773084975707,9.975159488752832,3.886423683987219
3779,0.8979451652305055,0.1833060573878319,0.3269781018877097,0.6666666666666666,0.6692673209402566,0.3293691028090182,1.0,0.6131132025975373,8.249636920625052,0.0149227206917159,0.0,0.0,0.0,0.4656397889032242,0.0,0.0,0.0240357761891433,1.537770346026184,0.0,4,13.287854808384177,14.001126401010291,5.738434814716717
3780,0.9134428699752436,0.2811840392462384,0.2147690392239746,0.8166666666666667,0.8148578659526745,0.298318751829519,0.0,0.0,20.175278406322825,0.1090022096976385,0.0,0.0,11.633132611215997,0.0,0.0,0.0,0.4702276764995272,0.3451645272466656,0.0,0,7.6254289722277235,11.742239622612999,3.7214936289406464
3781,0.9602607380462996,0.4914042177764016,0.0,0.8666666666666665,0.7455522190606734,0.0,0.0,0.0,13.35221631971325,0.0437462144850667,0.0,0.0,0.0,0.0,0.0,0.3730116549989724,0.2054939644167636,0.6936301257115057,0.0,0,7.596813095360101,11.413534916160978,4.073711444252973
3782,0.9670792812004216,0.7848423384010199,0.0,0.8,0.5373514180076069,0.0,1.0,0.4894602899858475,9.363002824592218,0.1226492526738962,0.0,0.0,0.0,0.0,0.0,0.9376232510086872,0.1347863274338445,2.0730977002879247,0.0,0,5.488175409703978,7.611160181129812,1.2302010645221835
3783,0.9517663368963996,0.6632070815830565,0.0,0.7083333333333334,0.810262928901379,0.0,1.0,0.6692356354349445,14.490259102737802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1759826916334962,1.0744435459688506,0.0,10,5.392874121096951,7.277500060415163,1.5585780515237293
3784,0.9086721547527288,0.3580498112101813,0.0,0.7499999999999999,0.820559500547022,0.0,0.0,0.0,11.177023981505178,0.0502212652708455,0.0,0.0,0.0,0.0,0.0,0.0,0.2134819524453832,0.8964498978737653,0.0505651409147646,0,7.557562598145845,8.87383898130201,2.9882259374590627
3785,0.954243114413636,0.3458939419758843,0.0478685643346644,0.6333333333333333,0.7466985752946625,0.0852495088005264,1.0,0.7895303340873727,8.296082583194039,0.1999914455042866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245060825440873,1.1070176508384135,14,13.054310105333762,15.175622896833957,6.7183061737798235
