grid_id_main,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_m2,heating_kwh_per_m2,other_electricity_kwh_per_m2
3211,0.1164349887646181,0.0,0.0,0.0,0.0,0.0,0.0,3.736015221186927,0.0,1.284990905537423,0.0,0,0.380380207594808,0.4021447594675546,0.2868668978140192
3212,1.6339078006778585,0.0,0.0,0.0,0.0,0.0,1.457482175950746,0.0996632916541008,0.0,1.313773738818006,0.0,5,3.3964990059190776,4.112264304913615,1.934220597778916
3213,10.252517167587031,0.0613506922966389,0.0,0.0,0.0,0.0,10.491831773399088,0.0,0.0,1.5487822876080966,0.0,6,15.02573198344322,24.38014098038868,6.651976443641028
3214,5.156844068157361,0.0761465376750279,0.0,0.0,0.0,0.0,0.3895911212635971,0.6134252379065135,0.0,1.7628250858657564,0.0,4,11.69944575587597,14.371467281749451,4.279757567785799
3215,14.349841446111272,2.274732388452944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569674466535454,0.0,0,29.304348992334138,40.54673786294339,16.856866988131003
3216,5.707336476284451,0.2935971074959831,0.0,0.0,0.0,0.0,0.0,0.1974112998665679,0.0,0.2865041392204934,0.0,1,12.60220232151603,15.784318354086814,4.508445857297202
3217,10.964038537787946,0.0858037723580845,0.0,0.0,0.0,0.0,0.0,1.1047101292483406,0.0,0.6109822451443284,0.0,0,26.977470773606584,30.86196495798829,11.97545033815024
3218,11.864243709845706,0.0746394442764253,0.0,0.0,0.0,0.0,0.0,0.2754380325566898,0.0,1.4637606709952713,0.0,2,24.40879443021832,31.555517173943013,8.320844194876907
3219,11.438276341411957,0.0110888818699684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4162867497654783,0.0,7,21.829721444736485,29.11222592934968,8.370333884145603
3220,11.060567464059435,0.095929500419945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634472834122823,0.0,1,21.985739028998605,28.90268095653547,8.124915447493892
3221,13.363522111817964,0.0349688345095069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608408753129004,0.0,2,26.41427662559565,35.345852946004584,8.532338262172138
3222,8.874112912173471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043798413453918,0.0,0,18.61251277382744,23.19703882689704,8.528907748302307
3223,14.03238215657475,0.932791186004172,0.0,0.0,0.0,0.0,0.0,0.0777951935692198,0.0,0.9473494966377572,0.0,4,25.400917708356303,37.18012732916851,7.770376507311092
3224,20.00267063397097,0.0804959684745857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159570557239931,0.0,2,32.56640638513429,49.41271366727853,8.872826245757894
3225,5.72375841648317,0.0,0.0,0.0,0.0,0.0,0.0,0.1327119430252417,0.0,1.9704950572617512,0.0,0,8.47250463712008,13.435145312668054,2.695549000043474
3226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356737353623484,0.0,0,0.0,0.0,0.0
3227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4475055006133288,0.0,0,0.0,0.0,0.0
3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2027998894692788,0.0,0,0.0,0.0,0.0
3229,0.0,0.0479112982916863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8881795130243622,0.0,0,0.2090317120888151,0.1625232893067042,0.1372399984255578
3230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336188437974125,0.0,0,0.0,0.0,0.0
3231,0.0,0.1076670270465843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3844993760634365e-05,0.0,0,0.3974382304788198,0.3184101903190168,0.2798944739186056
3232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000183402209088,0.0,0,0.0,0.0,0.0
3233,0.0,0.0174177182245556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0896404896770346,0.0609903829582449,0.0577836662591175
3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3235,0.0,0.0206779957705951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2371525688202962,0.1651976569909006,0.0836136268698097
3236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255352724137762,0.0,0,0.0,0.0,0.0
3237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6318619671864721,0.0,0,0.0,0.0,0.0
3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0748948353078969,0.0,0,0.0,0.0,0.0
3239,0.0570633528773645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8027518211008169,0.9719917991483354,0.0,0,0.2256742946609685,0.2123332920673034,0.1325808704464752
3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022006751967973,0.0,0,0.0,0.0,0.0
3241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636850169590456,0.0,0,0.0,0.0,0.0
3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479843164363877,0.0,0,0.0,0.0,0.0
3244,0.0,0.0053789158233039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109333226405717,0.0,0,0.2153258985400762,0.147899802453929,0.0749583182720255
3245,0.0539491559139178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4500064218171388,0.0,0,0.4495537253658487,0.4159278434942517,0.2533888325909606
3246,4.562259217865528,0.5581406188606004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6300815762851315,0.0,0,11.501957879002724,13.365484581005765,5.372084207145488
3247,10.475738152481318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.560536559759717,0.0,3,19.122865516536965,25.913662282703644,7.938518053124368
3248,9.5797547490101,0.0,0.2726915143469393,0.0,0.0,0.0,0.0,0.0,0.0,1.0199197901239787,0.0,0,20.14907730379404,25.248584461917105,9.494510616461644
3249,7.414584825436559,0.0155767347057536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0004583111913825,0.0,15,17.81708308374598,20.41618444119021,7.825805265398339
3250,12.06692684306424,0.0603829314541226,0.0,0.0,0.4455956104699951,0.0,0.0,0.0,0.0,1.1453943085569802,0.1351133832888763,8,21.963307678352407,30.48536437307076,8.52946553558353
3251,8.801180417893178,0.0114981715466986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6783515620799627,1.2197779237385864,0,17.347263576577284,22.7771412393324,6.890136347163669
3252,7.612336820184236,0.0570223039013122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791510866565586,0.0093136054022125,0,16.24361183131261,20.319233980071083,7.09242218672043
3253,6.104414262562465,0.0,0.0,0.0,0.0,0.0,0.0,0.0086427876693461,0.0,2.6137698356861936,0.0,8,11.548937487444004,15.81617692246054,3.1903583612238475
3254,5.786032944493524,0.0509560751963103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486152632199766,0.0,0,13.414649601935546,15.653637392188456,6.3515580954843465
3255,10.443102582974095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206178674016536,0.0,0,19.96308503694838,26.16007592128984,7.662169194686305
3256,11.45230192023648,0.0226391172087484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990601283935718,0.0,0,23.33949497354115,29.86874846577419,9.299190025924611
3257,6.331702563627517,0.252412700173552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3931514387704342,0.0,0,15.186987931977988,17.79334278489429,6.702817880366677
3258,11.239745503848958,0.1818518864643424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546913863587088,0.0,0,25.806990923590075,30.90149073438686,8.961409660983286
3259,6.379560916516538,0.2903343843493262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.930026919321192,0.0,10,15.76940499221238,19.22450394222609,2.8541447566748595
3260,14.118366071123068,0.0,0.0,0.0,0.0,14.951242771970414,0.0,0.0,0.0,0.6750231427719082,0.0,0,23.456199578349292,34.29369323351139,9.97734503920376
3261,12.28609520468662,0.5429961230245636,0.0,0.0,0.0,15.285250257807236,0.0,0.3117168217705755,0.0,1.4046132085645349,0.0,1,23.29069946184084,32.59961763076354,8.513389810562074
3262,3.594817656521902,1.068836010853581,0.0,0.0,0.0,0.0,0.0,2.9422401107189424,0.0,0.5901309391673267,0.0,0,13.347650026447113,14.004739139936447,8.711844380542143
3263,3.8453628115031546,0.0,0.0,0.0,0.0,0.0,0.0,2.303619459285945,0.0,0.5525296960736753,0.0,0,11.78811618392538,11.946810547265784,9.036826818088404
3264,2.9211478134514866,0.0,0.0,0.0,0.0,0.0,0.0,5.86641245528807,0.0,0.8777324957702037,0.0,0,7.974610285208,8.335883987247106,5.980319487271719
3265,0.0681443434086635,0.0,0.0,0.0,0.0,0.0,0.0,5.916953317186279,0.0,0.7902250879117453,0.0,0,0.312123133163584,0.2580641972473537,0.195037593729934
3266,0.0292068325750933,0.0727766638886242,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.4011414053966291,0.0,0,0.3932916585299512,0.3146506970562736,0.2564083851150514
3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.6582556173841866,0.0,0,0.0,0.0,0.0
3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5896149993975994,0.0,0.991375412054806,0.0,0,0.0,0.0,0.0
3269,0.1041396854753421,0.0,0.0,0.0,0.0,0.0,0.0,0.8813490159190834,0.0,1.7102179470499554,0.0,0,0.3702181981622219,0.3446231369366896,0.2341882043381171
3270,0.2211183048109743,0.0,0.0,0.0,0.0,0.0,0.0,4.887641261626828,0.0,1.0128049985409704,0.0,0,1.0315546491130874,0.859617113499192,0.5007371171083361
3271,0.0,0.2946246886327043,0.0,0.0,0.0,0.0,0.0,5.524564642987229,0.0,0.4747814423305843,0.0,0,0.8145326711588529,0.7412094150020959,0.953609807769865
3272,1.63522730051315,0.0,0.0,0.0,0.0,0.0,0.7535815008793832,4.199462119416432,0.0,1.4328095866513235,0.0,0,2.7691117418166744,4.023570944788464,1.6299445067652154
